AnnotationTime_s,Behavior,Time,Time_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
-4.718600791232777,other,28.0,0.028,-0.02,-0.64,0.85,-18.68,-47.36,42.24,,,
-4.187201582465554,other,28.0,0.028,-0.02,-0.64,0.85,-18.68,-47.36,42.24,,,
-3.6558023736983314,other,28.0,0.028,-0.02,-0.64,0.85,-18.68,-47.36,42.24,,,
-3.1244031649311084,other,28.0,0.028,-0.02,-0.64,0.85,-18.68,-47.36,42.24,,,
-2.5930039561638853,other,28.0,0.028,-0.02,-0.64,0.85,-18.68,-47.36,42.24,,,
-2.0616047473966623,other,28.0,0.028,-0.02,-0.64,0.85,-18.68,-47.36,42.24,,,
-1.5302055386294393,other,28.0,0.028,-0.02,-0.64,0.85,-18.68,-47.36,42.24,,,
-0.9988063298622168,stand,28.0,0.028,-0.02,-0.64,0.85,-18.68,-47.36,42.24,,,
-0.4674071210949932,stand,28.0,0.028,-0.02,-0.64,0.85,-18.68,-47.36,42.24,,,
0.0639920876722293,stand,28.0,0.028,-0.02,-0.64,0.85,-18.68,-47.36,42.24,,,
0.5953912964394528,stand,620.0,0.62,0.18,-0.76,0.59,91.0,45.17,-46.51,,,
1.1267905052066751,stand,1213.0,1.213,0.02,-0.54,0.98,65.61,-79.1,-78.43,,,
1.658189713973898,stand,1806.0,1.806,-0.06,-0.26,0.88,25.27,-2.14,17.33,,,
2.1895889227411214,stand,2398.0,2.398,0.06,-0.36,0.96,-5.68,-7.87,7.51,,,
2.720988131508344,stand,2989.0,2.989,0.05,-0.4,0.95,0.49,-10.38,2.26,,,
3.2523873402755665,stand,2989.0,2.989,0.05,-0.4,0.95,0.49,-10.38,2.26,,,
3.783786549042791,stand,3581.0,3.581,0.06,-0.46,0.99,39.61,-23.25,3.23,,,
4.3151857578100135,stand,4214.0,4.214,0.03,-0.4,0.95,-7.39,-0.24,-0.24,,,
4.846584966577236,stand,4807.0,4.807,0.09,-0.44,0.92,-11.35,2.69,4.03,,,
5.377984175344459,stand,5398.0,5.398,0.08,-0.45,0.9,-8.61,-2.62,-2.32,,,
5.909383384111681,stand,5991.0,5.991,0.07,-0.43,0.93,3.78,15.5,1.16,,,
6.4407825928789055,stand,6591.0,6.591,0.05,-0.45,0.97,-2.38,0.37,0.24,,,
6.972181801646128,stand,7183.0,7.183,0.01,-0.73,0.99,-91.86,-8.18,-13.92,,,
7.503581010413351,stand,7776.0,7.776,-0.05,-0.64,0.77,7.93,40.89,-12.33,,,
8.034980219180573,stand,7776.0,7.776,-0.05,-0.64,0.77,7.93,40.89,-12.33,,,
8.566379427947796,stand,8368.0,8.368,-0.04,-0.68,0.84,30.88,-12.02,-20.75,,,
9.09777863671502,stand,8962.0,8.962,0.15,-0.59,0.9,11.41,-55.79,67.38,,,
9.629177845482245,stand,9554.0,9.554,0.03,-0.51,0.85,-7.51,-0.06,-11.41,,,
10.160577054249464,stand,10146.0,10.146,0.14,-0.51,1.02,8.0,-3.11,8.0,,,
10.691976263016688,stand,10737.0,10.737,0.12,-0.41,0.92,23.38,-13.12,-12.63,,,
11.22337547178391,stand,11373.0,11.373,0.11,-0.47,0.89,0.43,-5.13,5.86,,,
11.754774680551131,stand,11966.0,11.966,0.08,-0.48,0.87,-14.59,11.72,-27.04,,,
12.286173889318356,stand,12558.0,12.558,0.09,-0.45,0.84,-40.16,6.65,-0.73,,,
12.817573098085582,stand,12558.0,12.558,0.09,-0.45,0.84,-40.16,6.65,-0.73,,,
13.348972306852804,stand,13160.0,13.16,0.01,-0.76,0.75,-9.83,16.66,-22.83,,,
13.880371515620029,stand,13752.0,13.752,0.06,-0.71,0.71,-1.22,1.34,-5.0,,,
14.41177072438725,stand,14344.0,14.344,0.0,-0.7,0.76,27.47,59.51,-23.38,,,
14.943169933154472,stand,14937.0,14.937,0.04,-0.46,0.97,28.44,71.72,-113.59,,,
15.474569141921696,stand,15530.0,15.53,0.0,-0.64,0.84,18.55,-42.85,5.98,,,
16.005968350688917,stand,16123.0,16.123,-0.04,-0.54,0.88,-4.58,8.61,-7.93,,,
16.53736755945614,stand,16715.0,16.715,0.26,-0.73,0.88,36.93,-69.89,32.35,,,
17.068766768223362,stand,17308.0,17.308,0.18,-0.62,0.85,-28.87,16.54,-10.01,,,
17.60016597699059,stand,17308.0,17.308,0.18,-0.62,0.85,-28.87,16.54,-10.01,,,
18.13156518575781,stand,17901.0,17.901,0.09,-0.73,0.81,48.4,77.88,-72.33,,,
