Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
28,-0.11,-0.50,0.94,-16.11,-6.04,33.75,,,
620,-0.11,-0.19,1.16,-26.18,-0.43,-88.44,,,
1214,-0.17,-0.25,1.30,82.58,-64.64,-19.78,,,
1807,-0.03,-0.74,1.18,-142.46,96.31,-52.92,,,
2400,-0.14,-0.98,0.80,6.16,-14.47,-15.99,,,
3046,0.08,-0.68,0.74,12.27,-34.30,33.45,,,
3639,0.08,-0.71,0.77,7.20,-8.06,12.57,,,
4231,0.12,-0.74,0.72,-2.38,-1.65,-0.18,,,
4824,0.15,-0.74,0.68,2.20,-2.62,1.77,,,
5416,0.19,-0.76,0.65,9.64,-39.55,21.61,,,
6009,0.01,-0.68,0.75,3.23,131.47,-75.93,,,
6610,-0.04,-0.68,0.76,24.23,-16.91,27.34,,,
7203,-0.06,-0.42,0.79,-12.45,54.81,-55.73,,,
7796,-0.08,-0.56,0.93,-16.42,-0.85,40.65,,,
8389,-0.18,-0.47,0.89,2.56,-17.27,24.60,,,
8983,-0.12,-0.35,0.87,-23.68,-13.98,-15.32,,,
9575,-0.10,-0.45,0.92,-12.15,-7.32,-6.53,,,
10211,-0.14,-0.44,0.87,-0.49,-1.59,6.90,,,
10804,-0.11,-0.50,0.94,1.16,13.61,9.03,,,
11396,-0.10,-0.56,0.89,3.17,8.48,23.62,,,
11990,-0.12,-0.46,0.86,-5.31,-1.95,-3.72,,,
12582,-0.23,-0.39,0.85,-15.63,-6.65,-7.57,,,
13185,-0.11,-0.69,0.88,-15.93,17.33,27.04,,,
13778,-0.00,-0.66,0.79,-41.87,-10.50,12.82,,,
14371,0.21,-0.67,0.67,-33.14,-71.96,52.61,,,
14965,0.23,-0.68,0.86,57.25,0.43,8.97,,,
15557,0.19,-0.67,0.75,9.22,-45.72,52.80,,,
16150,-0.05,-0.75,0.74,30.27,-31.68,-56.88,,,
16743,-0.01,-0.69,0.69,-51.03,-33.02,92.53,,,
17379,-0.07,-0.65,1.02,42.79,-3.97,15.01,,,
17972,-0.16,-0.59,0.76,33.63,9.64,-74.71,,,
18565,-0.14,-0.56,0.70,-90.33,37.96,-69.89,,,
19159,0.04,-0.51,1.06,87.89,-47.30,-4.27,,,
19760,-0.16,-0.54,0.86,0.92,-10.50,-79.59,,,
20354,-0.20,-0.78,0.77,-97.41,16.66,-46.63,,,
20947,-0.35,-0.83,0.45,24.66,90.94,-45.35,,,
