AnnotationTime_s,Behavior,Time,Time_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
4.096847939037063,stand,4231.0,4.231,0.12,-0.74,0.72,-2.38,-1.65,-0.18,,,
5.193695878074125,stand,5416.0,5.416,0.19,-0.76,0.65,9.64,-39.55,21.61,,,
6.290543817111188,other,6009.0,6.009,0.01,-0.68,0.75,3.23,131.47,-75.93,,,
7.387391756148251,stand,7203.0,7.203,-0.06,-0.42,0.79,-12.45,54.81,-55.73,,,
8.484239695185313,stand,8389.0,8.389,-0.18,-0.47,0.89,2.56,-17.27,24.6,,,
9.581087634222376,stand,9575.0,9.575,-0.1,-0.45,0.92,-12.15,-7.32,-6.53,,,
10.67793557325944,stand,10804.0,10.804,-0.11,-0.5,0.94,1.16,13.61,9.03,,,
11.7747835122965,stand,11990.0,11.99,-0.12,-0.46,0.86,-5.31,-1.95,-3.72,,,
12.871631451333563,stand,12582.0,12.582,-0.23,-0.39,0.85,-15.63,-6.65,-7.57,,,
13.968479390370629,stand,13778.0,13.778,-0.0,-0.66,0.79,-41.87,-10.5,12.82,,,
15.06532732940769,stand,14965.0,14.965,0.23,-0.68,0.86,57.25,0.43,8.97,,,
16.162175268444752,stand,16150.0,16.15,-0.05,-0.75,0.74,30.27,-31.68,-56.88,,,
17.259023207481818,stand,17379.0,17.379,-0.07,-0.65,1.02,42.79,-3.97,15.01,,,
18.35587114651888,stand,18565.0,18.565,-0.14,-0.56,0.7,-90.33,37.96,-69.89,,,
19.45271908555594,stand,19159.0,19.159,0.04,-0.51,1.06,87.89,-47.3,-4.27,,,
20.549567024593003,stand,20354.0,20.354,-0.2,-0.78,0.77,-97.41,16.66,-46.63,,,
21.64641496363007,stand,21540.0,21.54,-0.3,-0.87,0.43,-5.92,-0.92,4.46,,,
22.74326290266713,stand,22726.0,22.726,-0.28,-0.9,0.38,-2.44,-2.81,3.23,,,
23.840110841704192,stand,23912.0,23.912,-0.23,-0.91,0.36,-0.49,-9.03,3.3,,,
24.936958780741254,stand,25140.0,25.14,-0.26,-0.78,0.62,91.61,11.9,-29.17,,,
26.03380671977832,stand,25733.0,25.733,-0.14,-0.59,0.88,-14.47,-0.61,59.39,,,
27.13065465881538,stand,26928.0,26.928,-0.25,-0.89,0.48,-50.84,4.03,1.95,,,
28.227502597852443,stand,28113.0,28.113,-0.02,-1.01,0.02,-2.99,0.0,0.73,,,
29.324350536889504,stand,29297.0,29.297,-0.02,-1.02,0.02,-2.44,2.44,-2.5,,,
30.42119847592657,stand,30483.0,30.483,-0.0,-1.01,-0.02,7.32,15.81,-2.2,,,
