Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
583,-2.84,-6.09,7.56,-0.05,-0.03,0.04,-77.01,62.60,-39.29
1656,-1.14,-6.09,6.52,-0.57,0.48,-0.97,-78.03,61.58,-39.83
2729,-1.84,-8.73,-4.28,-2.07,1.45,1.42,-77.45,59.73,-48.51
3802,-2.29,-11.14,-0.52,0.92,-0.56,0.95,-82.97,59.70,-35.00
4875,-1.04,-9.30,-1.19,1.57,-0.24,0.70,-59.88,49.87,-72.05
5948,-2.68,-9.57,-1.83,-0.76,0.85,-0.23,-32.32,38.00,-66.12
7021,-3.26,-7.83,-1.13,1.09,1.94,-0.27,-24.89,35.87,-48.90
8094,-3.80,-10.23,-1.61,-0.25,-2.12,0.29,-19.07,39.11,-34.52
9214,-1.61,-8.22,1.96,-0.44,1.03,-0.21,-18.84,36.32,-47.81
10287,-4.35,-10.71,3.55,1.43,-1.43,0.15,-20.77,32.07,-55.98
11360,-2.00,-9.08,3.30,-0.37,-0.53,0.12,-67.22,48.87,-63.93
12433,-2.47,-9.76,-0.88,-1.49,-0.49,0.37,-65.92,50.39,-65.10
13506,-1.63,-8.92,-1.36,-0.88,-0.94,0.08,-79.04,42.94,-20.53
14579,0.47,-9.63,0.03,-0.47,0.86,0.03,-79.66,43.79,-18.58
15652,-3.59,-8.87,2.54,0.01,-0.63,0.23,-74.96,52.48,-19.98
16725,-2.70,-8.40,-0.72,-0.15,-0.35,0.79,-75.65,48.51,-18.53
17801,-0.09,-7.49,-2.93,0.10,-0.38,0.33,-65.10,34.36,-7.32
18874,-3.15,-10.42,-4.91,1.10,-0.51,-1.15,-25.49,29.55,-19.38
19989,-1.33,-8.57,0.84,0.02,0.87,0.90,-65.42,42.44,-6.23
21062,-0.68,-9.46,0.26,0.11,-0.70,0.17,-58.84,47.41,-5.61
22135,-0.51,-8.84,3.08,0.15,-2.70,0.89,-20.67,43.29,-30.28
23208,-0.99,-9.96,2.86,-0.39,1.06,-0.87,-21.94,43.85,-25.29
24281,-1.92,-9.60,-1.53,0.45,3.62,0.62,-33.53,37.66,-9.49
25354,-1.40,-10.30,0.21,-2.28,0.49,1.48,-21.60,36.74,-46.07
26427,-0.41,-13.98,4.02,-2.29,-0.63,1.35,-53.26,39.35,-67.42
27503,-2.14,-10.39,0.39,-0.79,0.89,-1.82,-83.85,50.44,-51.27
28576,-2.73,-9.35,-1.24,-0.55,0.87,0.18,-85.52,52.89,-47.57
29649,-3.64,-8.42,3.57,1.63,-0.29,0.76,-81.37,55.82,-48.82
30765,4.42,-7.57,-5.59,0.72,0.55,0.19,-85.79,28.34,-41.08
31838,-3.83,-7.20,3.31,1.57,2.11,-1.39,-64.76,29.36,-70.18
32911,-0.01,-8.61,1.85,0.33,0.82,-0.27,-18.96,37.61,-49.61
33984,1.24,-9.48,2.92,0.28,-0.02,-0.09,-19.50,45.81,-38.63
35057,1.41,-9.50,2.57,-0.02,0.01,-0.01,-19.89,49.01,-39.65
36133,0.38,-9.56,0.08,-0.24,0.66,0.06,-20.53,43.03,-28.40
37206,-0.33,-10.58,-0.49,-0.51,-1.58,-0.10,-18.40,40.22,-42.60
38279,-0.89,-9.01,-2.26,2.34,3.25,1.19,-20.27,36.31,-41.87
39352,-2.15,-8.05,-1.05,-1.10,-0.16,2.14,-23.44,40.95,-32.93
40425,1.59,-0.80,1.54,3.44,-0.32,3.55,-30.49,54.78,-46.05
41498,-3.16,-8.52,0.83,0.32,0.50,-1.23,-42.17,57.02,-59.32
42614,-1.87,-9.60,-1.02,-0.28,0.42,0.54,-55.80,56.93,-58.40
43687,-0.14,-9.94,-1.06,0.09,0.32,-0.12,-50.32,53.00,-61.17
44760,0.00,-10.08,0.41,-0.08,0.03,-0.02,-57.76,51.43,-65.17
45836,0.45,-9.89,0.40,-0.06,0.51,0.01,-58.46,49.84,-64.44
46909,1.31,-9.85,0.20,-0.09,0.11,-0.06,-54.40,50.18,-64.53
47982,1.51,-9.81,0.00,0.01,0.01,0.00,-54.15,50.42,-64.81
49055,0.96,-9.44,-1.07,0.05,-1.16,0.81,-56.66,53.41,-61.96
50128,-1.22,-9.31,-1.42,-0.05,-0.11,-0.03,-69.03,53.73,-51.70
51201,-1.00,-9.77,-0.47,-0.02,-0.96,-0.04,-75.67,54.57,-35.00
52274,-1.72,-9.91,-1.83,-0.65,-0.17,-0.17,-65.19,50.34,-11.71
53390,-1.89,-10.13,-2.00,-1.06,-0.83,0.56,-44.64,44.04,-3.03
54466,-0.81,-9.79,-2.05,-0.30,0.30,0.20,-50.03,34.62,-0.82
55539,-0.78,-10.00,-0.24,0.09,0.08,-0.10,-74.09,36.26,-1.33
56612,-0.36,-9.85,0.11,0.07,-0.00,-0.06,-74.45,34.08,-6.11
57685,-0.53,-9.85,0.30,0.04,0.09,-0.03,-76.78,33.34,-6.74
58758,-0.42,-9.89,0.41,0.02,0.02,-0.00,-78.03,32.51,-7.76
59831,-0.48,-9.82,0.69,0.18,0.11,0.05,-79.01,33.91,-7.51
60904,-0.34,-9.76,1.95,0.00,0.01,-0.02,-80.68,39.49,-7.75
61977,-0.34,-9.73,1.87,-0.01,0.01,-0.00,-80.93,39.32,-8.94
63050,-0.32,-9.76,1.80,-0.00,0.01,-0.02,-80.43,38.69,-8.96
64169,0.08,-9.87,1.18,-0.17,-0.04,-0.06,-78.34,34.87,-6.65
65243,-0.21,-9.77,1.56,0.07,0.11,0.10,-79.58,36.92,-7.42
66316,-0.26,-9.76,1.72,0.02,0.02,-0.00,-79.76,38.59,-8.67
67389,-0.23,-9.79,1.68,-0.02,-0.07,-0.05,-80.43,37.77,-8.32
68462,-0.19,-9.77,1.73,0.00,-0.01,-0.02,-80.30,37.53,-8.62
69535,-0.10,-9.77,1.74,0.01,0.05,0.02,-79.86,37.75,-7.00
70608,0.03,-9.80,1.61,-0.02,0.04,-0.02,-79.47,36.76,-7.32
71681,0.11,-9.80,1.58,0.01,0.00,-0.02,-79.09,36.22,-7.02
72756,-0.82,-9.70,3.30,0.46,-0.10,-0.01,-80.50,46.73,-1.17
73829,1.36,-12.89,-0.09,-0.48,0.35,-0.33,-39.59,43.12,-4.85
74902,-1.91,-12.76,-3.67,-1.62,-0.48,0.07,-69.38,48.76,-7.18
76018,-1.03,-9.81,-0.13,0.08,0.01,0.14,-84.92,54.27,-30.30
77091,0.47,-9.62,1.00,-0.07,0.19,-0.05,-85.81,44.88,-50.82
78164,-1.77,-9.87,-0.41,-0.14,1.40,0.27,-84.46,52.34,-25.59
79237,-1.60,-9.09,-1.69,0.75,0.52,0.34,-81.92,54.93,-27.65
80310,-1.35,-9.88,0.59,0.09,-0.01,-0.07,-83.28,55.25,-27.38
81384,-0.86,-9.33,0.82,-1.34,2.25,0.85,-79.11,51.81,-18.68
82459,-5.07,-7.52,-0.56,7.01,-1.14,-1.22,-83.86,57.80,-35.41
83532,-2.19,-8.75,-2.36,1.23,-0.29,-0.72,-79.51,55.32,-22.26
84605,-1.90,-8.97,-4.49,1.92,4.53,1.68,-75.12,59.60,-20.80
85678,-0.23,-9.55,-2.37,-0.09,0.00,0.24,-87.62,51.11,-31.09
86795,-0.71,-9.23,-1.42,-0.91,-1.33,0.11,-83.22,52.06,-19.86
87868,-0.97,-10.08,-0.91,-0.18,0.56,0.66,-85.78,51.89,-26.98
88941,-0.78,-8.49,1.29,0.14,-0.34,0.34,-83.59,53.07,-25.40
90014,-0.58,-10.92,-0.73,-1.49,0.64,1.95,-87.83,51.81,-37.50
91090,-1.09,-7.24,-1.67,0.46,-2.22,-2.03,-71.50,58.61,-16.11
92163,-0.42,-10.83,-1.15,0.07,-2.06,0.58,-39.89,44.18,-9.84
93236,0.81,-9.63,0.33,0.29,0.81,0.11,-32.21,49.28,-17.45
94309,-0.36,-9.50,2.05,-0.13,0.31,0.12,-23.24,48.47,-35.40
95382,-0.08,-9.48,2.17,0.04,1.94,-0.49,-24.55,49.28,-34.19
96455,-0.03,-9.41,2.08,0.01,-0.20,0.02,-51.99,53.92,-11.74
97528,-2.85,-11.03,-0.39,-0.79,-1.04,0.17,-65.55,48.61,-11.11
98644,0.17,-10.29,-0.27,-0.24,-1.08,0.22,-26.44,44.02,-25.23
99717,-2.15,-9.87,-0.83,0.44,0.59,0.46,-20.40,43.34,-44.86
100792,-1.29,-9.16,-0.86,1.22,-0.42,0.13,-36.52,44.02,-69.50
