Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
585,0.08,-10.11,-0.69,0.08,0.08,0.21,-34.90,39.40,-54.47
1655,-1.61,-9.59,1.61,2.09,-1.47,0.01,-32.53,32.10,-17.83
2726,-0.28,-9.51,-1.11,0.01,-0.07,-0.01,-33.18,35.33,-55.52
3797,2.60,-7.97,5.08,1.05,-0.35,0.10,-28.06,33.12,-57.89
4921,2.48,-7.39,5.29,0.36,-0.59,0.50,-33.57,30.06,-61.47
5992,1.41,-8.61,4.83,-0.01,0.03,-0.20,-39.54,27.87,-65.96
7062,0.17,-8.78,1.49,-0.62,0.54,-0.16,-35.27,35.69,-65.26
8133,-0.34,-9.31,-5.13,-0.38,0.78,-0.08,-20.72,40.97,-52.18
9207,0.88,-7.37,-1.40,-1.78,0.43,0.03,-30.69,54.41,-53.57
10278,0.87,-4.08,-6.66,-0.23,0.84,1.33,-29.73,24.20,-8.74
11348,0.68,-9.36,-2.14,4.25,3.55,-0.31,-82.43,34.42,-25.64
12419,2.22,-8.69,1.77,-0.00,-0.42,-0.19,-80.12,37.84,-17.71
13490,0.18,-9.74,2.85,0.03,-0.09,0.15,-73.49,47.78,-14.59
14561,0.91,-9.72,2.73,-0.33,0.20,0.03,-78.68,44.33,-19.13
15631,-1.12,-10.82,-1.49,0.62,-0.72,-0.01,-83.73,48.51,-32.56
16702,-1.04,-9.21,1.26,-0.85,-2.38,0.31,-80.62,51.84,-19.85
17816,-0.97,-9.57,-0.25,0.10,-1.30,-0.34,-75.97,45.02,-8.74
18890,-1.15,-9.31,2.04,0.30,0.36,-0.52,-55.17,50.15,-2.35
19961,-0.17,-9.41,2.71,0.03,0.12,-0.12,-55.93,50.53,-3.07
21032,-0.20,-9.46,2.73,-0.04,0.02,-0.04,-56.26,51.32,-4.19
22102,-1.14,-9.26,-2.37,-0.17,-1.68,0.20,-27.00,34.36,-8.62
23173,0.42,-10.03,0.35,-0.06,1.90,-0.28,-42.15,44.27,-2.35
24244,-0.36,-9.93,1.02,0.07,-0.06,-0.01,-62.88,46.24,-4.69
25315,0.03,-9.99,-1.19,0.07,-0.14,0.05,-84.00,42.09,-21.57
26385,0.21,-8.59,-0.32,0.14,-0.98,-0.45,-87.20,43.47,-42.60
27459,-0.87,-8.25,-2.62,0.49,-0.19,-0.02,-85.34,43.53,-23.06
28572,-0.38,-10.18,-1.75,-0.31,0.31,0.11,-86.60,41.44,-25.78
29642,0.35,-9.61,1.23,-0.14,0.25,-0.24,-87.91,42.79,-30.82
30713,0.39,-9.66,1.44,-0.05,0.22,0.02,-87.40,42.53,-30.63
31784,0.04,-9.50,2.41,0.21,0.09,0.09,-88.00,43.20,-34.26
32855,-0.26,-8.93,3.96,0.02,0.13,-0.02,-87.43,46.90,-33.65
33925,0.47,-8.35,5.05,0.40,-0.17,-0.28,-86.57,46.95,-28.49
34996,1.64,-7.60,6.36,-0.05,-0.01,0.01,-88.32,42.27,-33.85
36067,0.96,-7.83,5.99,0.03,-0.02,0.03,-88.99,41.96,-35.91
37140,0.81,-7.88,6.36,0.10,-0.26,0.13,-87.71,44.53,-33.32
38211,1.23,-7.62,6.28,-0.05,0.19,-0.08,-78.12,56.20,-19.32
39282,0.90,-8.04,5.93,0.06,-0.09,0.06,-76.78,55.70,-18.25
40396,1.26,-8.70,5.77,-0.42,-0.41,0.07,-73.81,56.75,-14.09
41467,1.09,-8.47,5.29,-0.01,0.04,0.00,-70.91,56.66,-12.47
42538,1.01,-8.41,5.24,0.03,-0.03,0.01,-71.13,56.80,-12.42
