AnnotationTime_s,Behavior,Time,Time_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
1.0029998695708884,stand,585.0,0.585,0.08,-10.11,-0.69,0.08,0.08,0.21,-34.9,39.4,-54.47
2.0059997391417768,stand,1655.0,1.655,-1.61,-9.59,1.61,2.09,-1.47,0.01,-32.53,32.1,-17.83
3.008999608712665,stand,2726.0,2.726,-0.28,-9.51,-1.11,0.01,-0.07,-0.01,-33.18,35.33,-55.52
4.0119994782835535,sit,3797.0,3.797,2.6,-7.97,5.08,1.05,-0.35,0.1,-28.06,33.12,-57.89
5.014999347854442,sit,4921.0,4.921,2.48,-7.39,5.29,0.36,-0.59,0.5,-33.57,30.06,-61.47
6.01799921742533,sit,5992.0,5.992,1.41,-8.61,4.83,-0.01,0.03,-0.2,-39.54,27.87,-65.96
7.020999086996218,sit,7062.0,7.062,0.17,-8.78,1.49,-0.62,0.54,-0.16,-35.27,35.69,-65.26
8.023998956567107,other,8133.0,8.133,-0.34,-9.31,-5.13,-0.38,0.78,-0.08,-20.72,40.97,-52.18
9.026998826137994,other,9207.0,9.207,0.88,-7.37,-1.4,-1.78,0.43,0.03,-30.69,54.41,-53.57
10.029998695708883,other,10278.0,10.278,0.87,-4.08,-6.66,-0.23,0.84,1.33,-29.73,24.2,-8.74
11.03299856527977,other,11348.0,11.348,0.68,-9.36,-2.14,4.25,3.55,-0.31,-82.43,34.42,-25.64
12.03599843485066,stand,12419.0,12.419,2.22,-8.69,1.77,-0.0,-0.42,-0.19,-80.12,37.84,-17.71
13.038998304421549,stand,13490.0,13.49,0.18,-9.74,2.85,0.03,-0.09,0.15,-73.49,47.78,-14.59
14.041998173992436,stand,14561.0,14.561,0.91,-9.72,2.73,-0.33,0.2,0.03,-78.68,44.33,-19.13
15.044998043563323,stand,14561.0,14.561,0.91,-9.72,2.73,-0.33,0.2,0.03,-78.68,44.33,-19.13
16.047997913134214,stand,15631.0,15.631,-1.12,-10.82,-1.49,0.62,-0.72,-0.01,-83.73,48.51,-32.56
17.0509977827051,stand,16702.0,16.702,-1.04,-9.21,1.26,-0.85,-2.38,0.31,-80.62,51.84,-19.85
18.05399765227599,stand,17816.0,17.816,-0.97,-9.57,-0.25,0.1,-1.3,-0.34,-75.97,45.02,-8.74
19.05699752184688,stand,18890.0,18.89,-1.15,-9.31,2.04,0.3,0.36,-0.52,-55.17,50.15,-2.35
20.059997391417767,stand,19961.0,19.961,-0.17,-9.41,2.71,0.03,0.12,-0.12,-55.93,50.53,-3.07
21.06299726098865,stand,21032.0,21.032,-0.2,-9.46,2.73,-0.04,0.02,-0.04,-56.26,51.32,-4.19
22.06599713055954,stand,22102.0,22.102,-1.14,-9.26,-2.37,-0.17,-1.68,0.2,-27.0,34.36,-8.62
23.06899700013043,stand,23173.0,23.173,0.42,-10.03,0.35,-0.06,1.9,-0.28,-42.15,44.27,-2.35
24.07199686970132,stand,24244.0,24.244,-0.36,-9.93,1.02,0.07,-0.06,-0.01,-62.88,46.24,-4.69
25.07499673927221,stand,25315.0,25.315,0.03,-9.99,-1.19,0.07,-0.14,0.05,-84.0,42.09,-21.57
26.07799660884309,stand,26385.0,26.385,0.21,-8.59,-0.32,0.14,-0.98,-0.45,-87.2,43.47,-42.6
27.080996478413983,eat,27459.0,27.459,-0.87,-8.25,-2.62,0.49,-0.19,-0.02,-85.34,43.53,-23.06
28.083996347984872,eat,28572.0,28.572,-0.38,-10.18,-1.75,-0.31,0.31,0.11,-86.6,41.44,-25.78
29.08699621755576,eat,28572.0,28.572,-0.38,-10.18,-1.75,-0.31,0.31,0.11,-86.6,41.44,-25.78
30.08999608712665,stand,29642.0,29.642,0.35,-9.61,1.23,-0.14,0.25,-0.24,-87.91,42.79,-30.82
31.092995956697536,stand,30713.0,30.713,0.39,-9.66,1.44,-0.05,0.22,0.02,-87.4,42.53,-30.63
32.09599582626843,sit,31784.0,31.784,0.04,-9.5,2.41,0.21,0.09,0.09,-88.0,43.2,-34.26
33.098995695839314,sit,32855.0,32.855,-0.26,-8.93,3.96,0.02,0.13,-0.02,-87.43,46.9,-33.65
34.1019955654102,sit,33925.0,33.925,0.47,-8.35,5.05,0.4,-0.17,-0.28,-86.57,46.95,-28.49
35.10499543498109,sit,34996.0,34.996,1.64,-7.6,6.36,-0.05,-0.01,0.01,-88.32,42.27,-33.85
36.10799530455198,sit,36067.0,36.067,0.96,-7.83,5.99,0.03,-0.02,0.03,-88.99,41.96,-35.91
37.11099517412287,sit,37140.0,37.14,0.81,-7.88,6.36,0.1,-0.26,0.13,-87.71,44.53,-33.32
38.11399504369376,sit,38211.0,38.211,1.23,-7.62,6.28,-0.05,0.19,-0.08,-78.12,56.2,-19.32
39.11699491326464,sit,39282.0,39.282,0.9,-8.04,5.93,0.06,-0.09,0.06,-76.78,55.7,-18.25
40.11999478283553,sit,40396.0,40.396,1.26,-8.7,5.77,-0.42,-0.41,0.07,-73.81,56.75,-14.09
41.12299465240642,sit,41467.0,41.467,1.09,-8.47,5.29,-0.01,0.04,0.0,-70.91,56.66,-12.47
42.1259945219773,sit,42538.0,42.538,1.01,-8.41,5.24,0.03,-0.03,0.01,-71.13,56.8,-12.42
43.1289943915482,sit,43608.0,43.608,0.42,-8.74,4.95,0.05,0.06,0.01,-69.28,57.26,-11.85
44.13199426111908,sit,43608.0,43.608,0.42,-8.74,4.95,0.05,0.06,0.01,-69.28,57.26,-11.85
45.134994130689975,sit,44679.0,44.679,0.57,-6.9,6.82,-0.58,0.69,-0.4,-75.29,59.94,-21.1
46.13799400026086,stand,45753.0,45.753,-0.18,-6.76,6.83,-0.22,-0.09,0.25,-77.59,58.36,-22.36
47.14099386983175,stand,46824.0,46.824,0.06,-9.24,-1.88,0.5,0.62,-0.23,-70.86,39.99,-4.34
