AccelXMean,AccelXStd,AccelXMin,AccelXMax,AccelYMean,AccelYStd,AccelYMin,AccelYMax,AccelZMean,AccelZStd,AccelZMin,AccelZMax,GyroXMean,GyroXStd,GyroXMin,GyroXMax,GyroYMean,GyroYStd,GyroYMin,GyroYMax,GyroZMean,GyroZStd,GyroZMin,GyroZMax,MagXMean,MagXStd,MagXMin,MagXMax,MagYMean,MagYStd,MagYMin,MagYMax,MagZMean,MagZStd,MagZMin,MagZMax,Behavior,WindowStart,WindowEnd
-2.25,0.7000000000000001,-2.95,-1.55,-11.059999999999999,1.0300000000000002,-12.09,-10.03,-0.995,0.30500000000000005,-1.3,-0.69,1.4200000000000002,1.5500000000000003,-0.13,2.97,-0.445,0.16499999999999998,-0.61,-0.28,-0.22500000000000003,1.115,-1.34,0.89,-74.49000000000001,2.490000000000002,-76.98,-72.0,55.935,0.8449999999999989,55.09,56.78,-54.955,7.574999999999999,-62.53,-47.38,stand,0.628,2.628
-1.705,1.245,-2.95,-0.46,-10.555,1.5350000000000001,-12.09,-9.02,-0.65,0.65,-1.3,-0.0,2.14,0.8300000000000001,1.31,2.97,-0.395,0.11499999999999999,-0.51,-0.28,-1.7200000000000002,0.38,-2.1,-1.34,-77.50999999999999,5.509999999999998,-83.02,-72.0,55.175,1.6050000000000004,53.57,56.78,-45.72,16.81,-62.53,-28.91,stand,1.6280000000000001,3.628
-0.625,0.165,-0.79,-0.46,-9.205,0.1850000000000005,-9.39,-9.02,0.405,0.405,-0.0,0.81,0.63,0.68,-0.05,1.31,0.515,1.025,-0.51,1.54,-0.89,1.21,-2.1,0.32,-83.985,0.9650000000000034,-84.95,-83.02,51.025,2.5450000000000017,48.48,53.57,-40.02,11.110000000000001,-51.13,-28.91,jump down,2.628,4.628
-0.8200000000000001,0.02999999999999997,-0.85,-0.79,-9.145,0.2450000000000001,-9.39,-8.9,1.23,0.41999999999999993,0.81,1.65,-0.02,0.030000000000000002,-0.05,0.01,0.77,0.77,0.0,1.54,0.29000000000000004,0.03,0.26,0.32,-85.39500000000001,0.4450000000000003,-85.84,-84.95,51.879999999999995,3.4000000000000017,48.48,55.28,-40.54,10.590000000000002,-51.13,-29.95,stand,3.628,5.628
-1.5450000000000002,0.6950000000000001,-2.24,-0.85,-10.585,1.6849999999999996,-12.27,-8.9,1.19,0.45999999999999996,0.73,1.65,-0.52,0.53,-1.05,0.01,-0.93,0.93,-1.86,0.0,-0.2,0.46,-0.66,0.26,-69.39500000000001,16.445,-85.84,-52.95,50.644999999999996,4.635000000000002,46.01,55.28,-15.594999999999999,14.355,-29.95,-1.24,stand,4.628,6.628
-1.3,0.9400000000000001,-2.24,-0.36,-9.89,2.38,-12.27,-7.51,2.3449999999999998,1.615,0.73,3.96,-0.385,0.665,-1.05,0.28,-1.1400000000000001,0.7200000000000001,-1.86,-0.42,-0.09000000000000002,0.5700000000000001,-0.66,0.48,-56.135000000000005,3.1849999999999987,-59.32,-52.95,53.785,7.775000000000002,46.01,61.56,-5.48,4.24,-9.72,-1.24,stand,5.628,7.628
-0.885,0.5249999999999999,-1.41,-0.36,-8.73,1.2199999999999998,-9.95,-7.51,3.85,0.10999999999999988,3.74,3.96,0.585,0.305,0.28,0.89,-0.29,0.13,-0.42,-0.16,0.25,0.22999999999999998,0.02,0.48,-58.144999999999996,1.1750000000000007,-59.32,-56.97,60.435,1.125,59.31,61.56,-8.530000000000001,1.1900000000000004,-9.72,-7.34,stand,6.628,8.628
-0.77,0.64,-1.41,-0.13,-9.645,0.3049999999999997,-9.95,-9.34,4.66,0.9199999999999999,3.74,5.58,0.39,0.5,-0.11,0.89,0.54,0.7,-0.16,1.24,-0.51,0.53,-1.04,0.02,-64.455,7.484999999999999,-71.94,-56.97,60.644999999999996,1.3349999999999973,59.31,61.98,-11.995,4.654999999999999,-16.65,-7.34,stand,7.628,9.628
0.49000000000000005,0.6200000000000001,-0.13,1.11,-6.915,2.425,-9.34,-4.49,7.09,1.5099999999999998,5.58,8.6,0.019999999999999997,0.13,-0.11,0.15,0.58,0.66,-0.08,1.24,-0.735,0.305,-1.04,-0.43,-65.295,6.645,-71.94,-58.65,68.94,6.960000000000004,61.98,75.9,-24.305,7.655000000000001,-31.96,-16.65,stand,8.628,10.628
1.3900000000000001,0.2799999999999999,1.11,1.67,-4.8100000000000005,0.31999999999999984,-5.13,-4.49,8.620000000000001,0.020000000000000462,8.6,8.64,0.075,0.075,-0.0,0.15,-0.02,0.06,-0.08,0.04,-0.305,0.125,-0.43,-0.18,-55.7,2.9499999999999993,-58.65,-52.75,75.65,0.25,75.4,75.9,-32.245000000000005,0.28500000000000014,-32.53,-31.96,sit,9.628,11.628
1.635,0.03499999999999992,1.6,1.67,-5.65,0.52,-6.17,-5.13,8.25,0.3900000000000002,7.86,8.64,-0.095,0.095,-0.19,-0.0,-0.05499999999999999,0.095,-0.15,0.04,-0.01999999999999999,0.16,-0.18,0.14,-58.55,5.799999999999997,-64.35,-52.75,73.86500000000001,1.5350000000000037,72.33,75.4,-28.535,3.995000000000001,-32.53,-24.54,sit,10.628,12.628
1.46,0.09899494936611673,1.39,1.6,-6.216666666666666,0.03299831645537235,-6.24,-6.17,7.900000000000001,0.028284271247461714,7.86,7.92,-0.09666666666666666,0.06599663291074444,-0.19,-0.05,0.09666666666666668,0.17441967269268172,-0.15,0.22,-0.22666666666666666,0.25927248643506745,-0.41,0.14,-43.809999999999995,14.523973285571685,-64.35,-33.54,68.96333333333334,2.3805928299947086,67.28,72.33,-29.27333333333333,3.3469720976163257,-31.64,-24.54,sit,11.628,13.628
0.4266666666666666,1.3623590650860815,-1.5,1.39,-5.47,1.0889444430272832,-6.24,-3.93,8.813333333333333,1.2633641157199647,7.92,10.6,-0.05666666666666667,0.009428090415820637,-0.07,-0.05,0.15,0.09899494936611665,0.01,0.22,-0.5299999999999999,0.16970562748477142,-0.77,-0.41,-37.43,5.50129075763134,-45.21,-33.54,69.49,3.125411972844538,67.28,73.91,-34.29666666666667,3.757094030704522,-39.61,-31.64,sit,12.628,14.628
-1.5,0.0,-1.5,-1.5,-3.93,0.0,-3.93,-3.93,10.6,0.0,10.6,10.6,-0.07,0.0,-0.07,-0.07,0.01,0.0,0.01,0.01,-0.77,0.0,-0.77,-0.77,-45.21,0.0,-45.21,-45.21,73.91,0.0,73.91,73.91,-39.61,0.0,-39.61,-39.61,sit,13.628,15.628
-1.52,0.0,-1.52,-1.52,-7.97,0.0,-7.97,-7.97,2.29,0.0,2.29,2.29,-1.17,0.0,-1.17,-1.17,0.86,0.0,0.86,0.86,0.25,0.0,0.25,0.25,-30.53,0.0,-30.53,-30.53,53.43,0.0,53.43,53.43,-14.41,0.0,-14.41,-14.41,sit,14.628,16.628
-1.7349999999999999,0.21499999999999997,-1.95,-1.52,-8.2,0.22999999999999998,-8.43,-7.97,3.71,1.42,2.29,5.13,-0.29,0.8799999999999999,-1.17,0.59,-0.175,1.035,-1.21,0.86,0.44,0.19,0.25,0.63,-25.555,4.975000000000001,-30.53,-20.58,51.995000000000005,1.4349999999999987,50.56,53.43,-20.869999999999997,6.459999999999999,-27.33,-14.41,sit,15.628,17.628
-0.54,1.4100000000000001,-1.95,0.87,-9.605,1.1749999999999998,-10.78,-8.43,4.26,0.87,3.39,5.13,0.15,0.43999999999999995,-0.29,0.59,-0.6799999999999999,0.53,-1.21,-0.15,0.165,0.46499999999999997,-0.3,0.63,-19.424999999999997,1.1549999999999994,-20.58,-18.27,47.555,3.0050000000000026,44.55,50.56,-32.805,5.475000000000001,-38.28,-27.33,sit,16.628,18.628
-0.06,0.9299999999999999,-0.99,0.87,-10.425,0.35499999999999954,-10.78,-10.07,2.615,0.775,1.84,3.39,-0.33499999999999996,0.04500000000000001,-0.38,-0.29,-0.195,0.045,-0.24,-0.15,-0.175,0.12499999999999999,-0.3,-0.05,-18.345,0.07500000000000107,-18.42,-18.27,42.18,2.3699999999999974,39.81,44.55,-37.32,0.9600000000000009,-38.28,-36.36,stand,17.628,19.628
-0.5,0.49,-0.99,-0.01,-10.625,0.5549999999999997,-11.18,-10.07,1.645,0.19500000000000006,1.45,1.84,-0.010000000000000009,0.37,-0.38,0.36,-0.22,0.01999999999999999,-0.24,-0.2,0.715,0.765,-0.05,1.48,-18.68,0.2599999999999998,-18.94,-18.42,39.7,0.10999999999999943,39.59,39.81,-37.95,1.5899999999999999,-39.54,-36.36,stand,18.628,20.628
